abbr,handle,havePhoto,name,width,height
USA,impatrickt,true,Patrick Tomasso,640,426
UZB,far5n10v,true,Farhodjon Chinberdiev,640,512
VEN,arq_blee,true,Bona Lee,640,303
ESH,leret,true,Carlos Leret,640,480
YEM,,true,Almwald Alezzey,640,446
ZMB,pauljmilley,true,paul milley,640,960
URY,pedroslinger,true,Pedro Slinger,750,1125
VUT,,false,,,
VNM,ammiengo,true,Ammie Ngo,750,500
ZWE,,false,,,
